,ID,AWARDS
722,17910,['MP for Gloucestershire 1831-32 and East Gloucestershire 1832-1834. Created Baron Moreton of Tortworth in 1837. Became 2nd Earl of Ducie in 1840']
723,517481,[]
724,573903,[]
725,17765,[]
726,17144,[]
727,17139,[]
728,17138,[]
729,646869,[]
730,400778,[]
731,254230,[]
732,17764,[]
733,859915,[]
734,17137,['Tasmania First-Class Career Span: 1913-25']
735,17763,[]
736,17983,[]
737,17762,[]
738,17761,[]
739,17760,[]
740,17759,[]
741,17758,[]
742,587607,[]
743,587616,[]
744,17958,[]
745,17935,[]
746,916049,[]
747,914689,[]
748,17136,[]
749,17934,[]
750,17185,[]
751,1110469,[]
752,17757,[]
753,17756,[]
754,879381,[]
755,17135,[]
756,1153260,[]
757,17755,[]
758,17933,[]
759,1150038,[]
760,17966,[]
761,17132,[]
762,779365,[]
763,17754,[]
764,17793,[]
765,53824,[]
766,17753,[]
767,17932,[]
768,17752,[]
769,17751,[]
770,369220,[]
771,17153,[]
772,737375,[]
773,17750,[]
774,17234,[]
775,17130,['Wisden Cricketer of the Year 1967']
776,17749,[]
777,17931,[]
778,365723,[]
779,17748,[]
780,535472,[]
781,17942,[]
782,1095652,[]
783,529122,[]
784,1148024,[]
785,514396,[]
786,17747,[]
787,1141034,[]
788,1150773,[]
789,17979,[]
790,17128,[]
791,17746,[]
792,17127,[]
793,17807,[]
794,17126,[]
795,17745,[]
796,17744,[]
797,17929,[]
798,17930,[]
799,17743,[]
800,17977,[]
801,17125,['Wisden Cricketer of the Year 1995']
802,578750,[]
803,17742,[]
804,17928,[]
805,1100310,[]
806,17196,[]
807,17741,[]
808,17740,[]
809,17739,[]
810,17738,[]
811,17927,[]
812,17926,[]
813,17737,[]
814,17925,[]
815,536605,[]
816,17736,[]
817,17735,[]
818,17734,[]
819,17733,[]
820,17123,[]
821,17732,[]
822,17924,[]
823,1007183,[]
824,17731,[]
825,17122,[]
826,245655,[]
827,17803,[]
828,17730,[]
829,17949,[]
830,326409,[]
831,17647,[]
832,1142390,[]
833,888291,[]
834,579106,[]
835,17986,[]
836,17121,[]
837,17163,[]
838,17729,[]
839,1098007,[]
